"Name","RMSPE_ratio"
"Karl Marx",10.2852914508388
"Amadeus Wendt",3.13969746299386
"Arnold Ruge",1.11782140788036
"August Bebel",1.43281633568144
"Barthold Georg Niebuhr",2.22841662095402
"Bernard Bolzano",0.978424412561749
"Bruno Bauer",1.27965826766616
"Bruno Hildebrand",1.24451579008433
"Carl Stumpf",1.34345729828943
"Christian Schreiber",1.24764110060098
"Christian Wilhelm von Dohm",1.39748063684395
"Clausewitz",4.57338109468745
"Dietrich Tiedemann",2.02201787915017
"Dilthey",10.8983254054132
"E T A Hoffmann",22.8795415293407
"Ebbinghaus",5.44464061992214
"Eduard Beneke",2.31507356809962
"Eduard Bernstein",2.26231581702033
"Eduard Zeller",2.18866880270621
"Eduard von Hartmann",1.94348407619203
"Eugen Dühring",0.741261930536114
"Ferdinand Lassalle",2.59344552085046
"Ferdinand Tönnies",2.43648528617816
"Fichte",3.71843201898917
"Franz Brentano",2.31380302382696
"Frege",0.924994581337462
"Friedrich Ast",2.67319693321542
"Friedrich Carlvon Savigny",NA
"Friedrich Heinrich Jacobi",1.16795999666907
"Friedrich Krause",2.14006568227195
"Friedrich List",5.59859098206722
"Friedrich Schiller",2.32364205290483
"Friedrich Schlegel",2.42807193518637
"Fritz Schultze",1.44838358976153
"Goethe",1.30896662819795
"Gotthold Ephraim Lessing",1.47759781875884
"Gottlob Ernst Schulze",1.90720556189737
"Grimmelshausen",3.08144445668515
"Gustav Freytag",3.11622129288604
"Gustav Schönberg",2.18544051845137
"Hamann",2.19137224715437
"Heinrich Feder",1.58108510209714
"Helmholtz",2.64059575858147
"Herbart",3.81638154426846
"Herder",1.24596857754188
"Hermann Cohen",13.1977169945841
"Hermann Lotze",1.21745171641476
"Hölderlin",6.92461954490469
"Immanuel Kant",2.31735524315888
"Kafka",3.28513848378061
"Karl Knies",1.21435763701011
"Kuno Fischer",1.45105317341654
"Külpe",8.02312622991538
"Laspeyres",2.7674980958353
"Ludwig Büchner",1.25779318417781
"Ludwig Feuerbach",1.44920119855051
"Mainländer",0.926500498947393
"Martin Luther",1.41781279311082
"Max Stirner",0.961682054647913
"Moses Hess",1.20852365350546
"Moses Mendelssohn",1.30454703570059
"Natorp",1.39376501687955
"Nietzsche",2.80640772270083
"Otto Liebmann",1.16076980878317
"Ranke",1.04057922813239
"Rilke",25.2756262294838
"Rodbertus",0.690611186883253
"Rudolf Haym",3.42536432335333
"Scheler",7.89283873496339
"Schleiermacher",1.31356766841506
"Schmoller",2.38484784789427
"Schopenhauer",1.94282168459024
"Schäffle",0.841383158169788
"Sigismund Beck",4.39316203487459
"Simmel",5.97585460788396
"Sombart",4.61125493649643
"Theodor Fontane",4.15983907591522
"Theodor Lipps",8.31594031536884
"Thomas Abbt",0.955603071445446
"Thomas Mann",8.32188382245669
"Thünen",0.641365423476264
"Wentscher",1.67965180730897
"Wilhelm Drobisch",2.57323226446222
"Wilhelm Roscher",0.367374064797714
"Wilhelmvon Humboldt",NA
"Windelband",4.78281559987967
"Wundt",7.37881429605256
