Name,Year,cite_English,cite_German,Political,Socialist,wrote_English,wrote_German,wrote_French,wrote_Spanish,wrote_Italian,wrote_Greek,wrote_Latin,YearofPublication,YearofTranslationtoEnglish
Abraham Lincoln,1850,0.000000045,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1851,0.000000011,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1852,0.0000000129,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1853,0.0000000352,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1854,0.0000000109,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1855,0.0000000352,1.24E-09,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1856,0.0000000458,1.22E-09,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1857,0.000000026,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1858,0.0000000421,1.15E-09,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1859,0.0000000292,0,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1860,0.000000439,1.90E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1861,0.000000961,1.59E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1862,0.00000114,1.06E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1863,0.00000147,1.26E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1864,0.00000225,2.27E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1865,0.00000513,4.00E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1866,0.00000867,5.46E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1867,0.00000186,2.16E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1868,0.00000154,1.07E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1869,0.0000013,1.36E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1870,0.00000118,6.88E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1871,0.000000563,7.55E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1872,0.000000814,1.02E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1873,0.000000772,1.21E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1874,0.000000855,4.44E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1875,0.000000768,3.53E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1876,0.000000871,1.18E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1877,0.000000847,4.39E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1878,0.000000829,3.47E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1879,0.000000983,5.79E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1880,0.00000105,5.19E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1881,0.00000117,1.06E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1882,0.00000114,6.12E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1883,0.000001,2.65E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1884,0.00000137,5.28E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1885,0.00000115,4.32E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1886,0.00000133,6.60E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1887,0.00000147,3.30E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1888,0.00000177,3.85E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1889,0.00000174,5.58E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1890,0.00000153,5.71E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1891,0.00000195,3.90E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1892,0.0000018,5.43E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1893,0.00000195,4.52E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1894,0.00000231,2.59E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1895,0.00000186,2.38E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1896,0.00000185,5.89E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1897,0.00000191,5.28E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1898,0.00000152,3.99E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1899,0.00000206,3.23E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1900,0.00000248,3.96E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1901,0.00000181,3.97E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1902,0.00000199,2.97E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1903,0.00000225,3.33E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1904,0.00000188,5.78E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1905,0.00000216,4.13E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1906,0.00000233,6.69E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1907,0.00000214,5.37E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1908,0.00000254,5.23E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1909,0.0000033,6.01E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1910,0.00000244,5.15E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1911,0.00000208,5.81E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1912,0.0000021,5.07E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1913,0.00000198,2.53E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1914,0.00000217,3.55E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1915,0.00000208,2.26E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1916,0.00000252,7.23E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1917,0.00000252,6.75E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1918,0.00000223,7.20E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1919,0.00000252,2.73E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1920,0.00000275,5.77E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1921,0.00000231,6.06E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1922,0.00000209,5.79E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1923,0.00000229,7.00E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1924,0.00000258,6.97E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1925,0.00000286,1.31E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1926,0.00000289,1.68E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1927,0.00000307,1.12E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1928,0.00000279,8.80E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1929,0.00000345,1.83E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1930,0.00000258,1.18E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1931,0.00000217,1.34E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1932,0.00000222,1.45E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1933,0.00000244,7.11E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1934,0.00000235,6.75E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1935,0.00000237,8.24E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1936,0.00000226,1.25E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1937,0.00000251,8.61E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1938,0.00000281,9.71E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1939,0.00000294,8.67E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1940,0.00000301,9.11E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1941,0.00000273,9.49E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1942,0.00000269,1.02E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1943,0.00000398,8.42E-08,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1944,0.00000258,2.14E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1945,0.00000328,2.10E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1946,0.0000026,3.71E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1947,0.00000254,2.28E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1948,0.00000257,2.47E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1949,0.00000207,2.33E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1950,0.00000223,1.58E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1951,0.00000208,1.72E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1952,0.00000234,2.30E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1953,0.00000279,1.95E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1954,0.00000208,1.34E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1955,0.00000214,1.93E-07,1,0,1,0,0,0,0,0,0,1861,1861
Abraham Lincoln,1956,0.00000215,1.82E-07,1,0,1,0,0,0,0,0,0,1861,1861
